Customer Key,First Name,Last Name,Full Name,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,EduLevel,Occupation,DateFirstPurchase,CommuteDistance,CustomerCity,CustomerCountry
11000,Jon,Yang,Jon Yang,1971-10-06,M,Male,90000,2,Bachelors,Professional,2019-01-19,1-2 Miles,Rockhampton,Australia
11001,Eugene,Huang,Eugene Huang,1976-05-10,S,Male,60000,3,Bachelors,Professional,2019-01-15,0-1 Miles,Seaford,Australia
11002,Ruben,Torres,Ruben Torres,1971-02-09,M,Male,60000,3,Bachelors,Professional,2019-01-07,2-5 Miles,Hobart,Australia
11003,Christy,Zhu,Christy Zhu,1973-08-14,S,Female,70000,0,Bachelors,Professional,2018-12-29,5-10 Miles,North Ryde,Australia
11004,Elizabeth,Johnson,Elizabeth Johnson,1979-08-05,S,Female,80000,5,Bachelors,Professional,2019-01-23,1-2 Miles,Wollongong,Australia
11005,Julio,Ruiz,Julio Ruiz,1976-08-01,S,Male,70000,0,Bachelors,Professional,2018-12-30,5-10 Miles,East Brisbane,Australia
11006,Janet,Alvarez,Janet Alvarez,1976-12-02,S,Female,70000,0,Bachelors,Professional,2019-01-24,5-10 Miles,Matraville,Australia
11007,Marco,Mehta,Marco Mehta,1969-11-06,M,Male,60000,3,Bachelors,Professional,2019-01-09,0-1 Miles,Warrnambool,Australia
11008,Rob,Verhoff,Rob Verhoff,1975-07-04,S,Female,60000,4,Bachelors,Professional,2019-01-25,10+ Miles,Bendigo,Australia
11009,Shannon,Carlson,Shannon Carlson,1969-09-29,S,Male,70000,0,Bachelors,Professional,2019-01-27,5-10 Miles,Hervey Bay,Australia
11010,Jacquelyn,Suarez,Jacquelyn Suarez,1969-08-05,S,Female,70000,0,Bachelors,Professional,2019-01-14,5-10 Miles,East Brisbane,Australia
11011,Curtis,Lu,Curtis Lu,1969-05-03,M,Male,60000,4,Bachelors,Professional,2018-12-30,10+ Miles,East Brisbane,Australia
11012,Lauren,Walker,Lauren Walker,1979-01-14,M,Female,100000,2,Bachelors,Management,2021-03-16,1-2 Miles,Bremerton,United States
11013,Ian,Jenkins,Ian Jenkins,1979-08-03,M,Male,100000,2,Bachelors,Management,2021-04-13,0-1 Miles,Lebanon,United States
11014,Sydney,Bennett,Sydney Bennett,1973-11-06,S,Female,100000,3,Bachelors,Management,2021-03-23,1-2 Miles,Redmond,United States
11015,Chloe,Young,Chloe Young,1984-08-26,S,Female,30000,0,Partial College,Skilled Manual,2021-01-18,5-10 Miles,Burbank,United States
11016,Wyatt,Hill,Wyatt Hill,1984-10-25,M,Male,30000,0,Partial College,Skilled Manual,2021-02-09,5-10 Miles,Imperial Beach,United States
11017,Shannon,Wang,Shannon Wang,1949-12-24,S,Female,20000,4,High School,Skilled Manual,2019-01-12,5-10 Miles,Sunbury,Australia
